SUBTYPE	CODE	DISPLAY	COMMENT
self_harm	T44.5X2D	Poisoning by predom beta-adrenocpt agonists, self-harm, subs	
self_harm	T44.5X2S	Poisn by predom beta-adrenocpt agonists, self-harm, sequela	
self_harm	T44.6X2	Poisoning by alpha-adrenoreceptor antagonists, self-harm	
self_harm	T44.6X2A	Poisoning by alpha-adrenocpt antagonists, self-harm, init	
self_harm	T44.6X2D	Poisoning by alpha-adrenocpt antagonists, self-harm, subs	
self_harm	T44.6X2S	Poisoning by alpha-adrenocpt antagonists, self-harm, sequela	
self_harm	T44.7X2	Poisoning by beta-adrenoreceptor antagonists, self-harm	
self_harm	T44.7X2A	Poisoning by beta-adrenocpt antagonists, self-harm, init	
self_harm	T44.7X2D	Poisoning by beta-adrenocpt antagonists, self-harm, subs	
self_harm	T44.7X2S	Poisoning by beta-adrenocpt antagonists, self-harm, sequela	
self_harm	T44.8X2	Poisoning by centr-acting/adren-neurn-block agnt, self-harm	
self_harm	T44.8X2A	Poisn by centr-acting/adren-neurn-block agnt, slf-hrm, init	
self_harm	T44.8X2D	Poisn by centr-acting/adren-neurn-block agnt, slf-hrm, subs	
self_harm	T44.8X2S	Poisn by centr-acting/adren-neurn-block agnt, slf-hrm, sqla	
self_harm	T44.902	Poisn by unsp drugs aff the autonm nervous sys, self-harm	
self_harm	T44.902A	Poisn by unsp drugs aff the autonm nrv sys, slf-hrm, init	
self_harm	T44.902D	Poisn by unsp drugs aff the autonm nrv sys, slf-hrm, subs	
self_harm	T44.902S	Poisn by unsp drugs aff the autonm nrv sys, slf-hrm, sequela	
self_harm	T44.992	Poisoning by oth drug aff the autonm nervous sys, self-harm	
self_harm	T44.992A	Poisn by oth drug aff the autonm nervous sys, slf-hrm, init	
self_harm	T44.992D	Poisn by oth drug aff the autonm nervous sys, slf-hrm, subs	
self_harm	T44.992S	Poisn by oth drug aff the autonm nrv sys, slf-hrm, sequela	
self_harm	T45.0X2	Poisoning by antiallerg/antiemetic, intentional self-harm	
self_harm	T45.0X2A	Poisoning by antiallerg/antiemetic, self-harm, init	
self_harm	T45.0X2D	Poisoning by antiallerg/antiemetic, self-harm, subs	
self_harm	T45.0X2S	Poisoning by antiallerg/antiemetic, self-harm, sequela	
self_harm	T45.1X2	Poisoning by antineoplastic and immunosup drugs, self-harm	
self_harm	T45.1X2A	Poisoning by antineopl and immunosup drugs, self-harm, init	
self_harm	T45.1X2D	Poisoning by antineopl and immunosup drugs, self-harm, subs	
self_harm	T45.1X2S	Poisn by antineopl and immunosup drugs, self-harm, sequela	
self_harm	T45.2X2	Poisoning by vitamins, intentional self-harm	
self_harm	T45.2X2A	Poisoning by vitamins, intentional self-harm, init encntr	
self_harm	T45.2X2D	Poisoning by vitamins, intentional self-harm, subs encntr	
self_harm	T45.2X2S	Poisoning by vitamins, intentional self-harm, sequela	
self_harm	T45.3X2	Poisoning by enzymes, intentional self-harm	
self_harm	T45.3X2A	Poisoning by enzymes, intentional self-harm, init encntr	
self_harm	T45.3X2D	Poisoning by enzymes, intentional self-harm, subs encntr	
self_harm	T45.3X2S	Poisoning by enzymes, intentional self-harm, sequela	
self_harm	T45.4X2	Poisoning by iron and its compounds, intentional self-harm	
self_harm	T45.4X2A	Poisoning by iron and its compounds, self-harm, init	
self_harm	T45.4X2D	Poisoning by iron and its compounds, self-harm, subs	
self_harm	T45.4X2S	Poisoning by iron and its compounds, self-harm, sequela	
self_harm	T45.512	Poisoning by anticoagulants, intentional self-harm	
self_harm	T45.512A	Poisoning by anticoagulants, intentional self-harm, init	
self_harm	T45.512D	Poisoning by anticoagulants, intentional self-harm, subs	
self_harm	T45.512S	Poisoning by anticoagulants, intentional self-harm, sequela	
self_harm	T45.522	Poisoning by antithrombotic drugs, intentional self-harm	
self_harm	T45.522A	Poisoning by antithrombotic drugs, self-harm, init	
self_harm	T45.522D	Poisoning by antithrombotic drugs, self-harm, subs	
self_harm	T45.522S	Poisoning by antithrombotic drugs, self-harm, sequela	
self_harm	T45.602	Poisoning by unsp fibrin-affct drugs, intentional self-harm	
self_harm	T45.602A	Poisoning by unsp fibrin-affct drugs, self-harm, init	
self_harm	T45.602D	Poisoning by unsp fibrin-affct drugs, self-harm, subs	
self_harm	T45.602S	Poisoning by unsp fibrin-affct drugs, self-harm, sequela	
self_harm	T45.612	Poisoning by thrombolytic drug, intentional self-harm	
self_harm	T45.612A	Poisoning by thrombolytic drug, intentional self-harm, init	
self_harm	T45.612D	Poisoning by thrombolytic drug, intentional self-harm, subs	
self_harm	T45.612S	Poisoning by thrombolytic drug, self-harm, sequela	
self_harm	T45.622	Poisoning by hemostatic drug, intentional self-harm	
self_harm	T45.622A	Poisoning by hemostatic drug, intentional self-harm, init	
self_harm	T45.622D	Poisoning by hemostatic drug, intentional self-harm, subs	
self_harm	T45.622S	Poisoning by hemostatic drug, intentional self-harm, sequela	
self_harm	T45.692	Poisoning by oth fibrin-affct drugs, intentional self-harm	
self_harm	T45.692A	Poisoning by oth fibrin-affct drugs, self-harm, init	
self_harm	T45.692D	Poisoning by oth fibrin-affct drugs, self-harm, subs	
self_harm	T45.692S	Poisoning by oth fibrin-affct drugs, self-harm, sequela	
self_harm	T45.7X2	Poisn by anticoag antag, vitamin K and oth coag, self-harm	
self_harm	T45.7X2A	Poisn by anticoag antag, vit K and oth coag, slf-hrm, init	
self_harm	T45.7X2D	Poisn by anticoag antag, vit K and oth coag, slf-hrm, subs	
self_harm	T45.7X2S	Poisn by anticoag antag, vit K and oth coag, slf-hrm, sqla	
self_harm	T45.8X2	Poisn by oth prim systemic and hematolog agents, self-harm	
self_harm	T45.8X2A	Poisn by oth prim sys and hematolog agents, slf-hrm, init	
self_harm	T45.8X2D	Poisn by oth prim sys and hematolog agents, slf-hrm, subs	
self_harm	T45.8X2S	Poisn by oth prim sys and hematolog agents, slf-hrm, sequela	
self_harm	T45.92XA	Poisn by unsp prim sys and hematolog agent, slf-hrm, init	
self_harm	T45.92XD	Poisn by unsp prim sys and hematolog agent, slf-hrm, subs	
self_harm	T45.92XS	Poisn by unsp prim sys and hematolog agent, slf-hrm, sequela	
self_harm	T46.0X2	Poisoning by cardi-stim glycos/drug simlar act, self-harm	
self_harm	T46.0X2A	Poisn by cardi-stim glycos/drug simlar act, self-harm, init	
self_harm	T46.0X2D	Poisn by cardi-stim glycos/drug simlar act, self-harm, subs	
self_harm	T46.0X2S	Poisn by cardi-stim glycos/drug simlar act, slf-hrm, sequela	
self_harm	T46.1X2	Poisoning by calcium-channel blockers, intentional self-harm	
self_harm	T46.1X2A	Poisoning by calcium-channel blockers, self-harm, init	
self_harm	T46.1X2D	Poisoning by calcium-channel blockers, self-harm, subs	
self_harm	T46.1X2S	Poisoning by calcium-channel blockers, self-harm, sequela	
self_harm	T46.2X2	Poisoning by oth antidysrhythmic drugs, self-harm	
self_harm	T46.2X2A	Poisoning by oth antidysrhythmic drugs, self-harm, init	
self_harm	T46.2X2D	Poisoning by oth antidysrhythmic drugs, self-harm, subs	
self_harm	T46.2X2S	Poisoning by oth antidysrhythmic drugs, self-harm, sequela	
self_harm	T46.3X2	Poisoning by coronary vasodilators, intentional self-harm	
self_harm	T46.3X2A	Poisoning by coronary vasodilators, self-harm, init	
self_harm	T46.3X2D	Poisoning by coronary vasodilators, self-harm, subs	
self_harm	T46.3X2S	Poisoning by coronary vasodilators, self-harm, sequela	
self_harm	T46.4X2	Poisoning by angiotens-convert-enzyme inhibitors, self-harm	
self_harm	T46.4X2A	Poisn by angiotens-convert-enzyme inhibtr, self-harm, init	
self_harm	T46.4X2D	Poisn by angiotens-convert-enzyme inhibtr, self-harm, subs	
self_harm	T46.4X2S	Poisn by angiotens-convert-enzyme inhibtr, slf-hrm, sequela	
self_harm	T46.5X2	Poisoning by oth antihypertensive drugs, self-harm	
self_harm	T46.5X2A	Poisoning by oth antihypertensive drugs, self-harm, init	
self_harm	T46.5X2D	Poisoning by oth antihypertensive drugs, self-harm, subs	
self_harm	T46.5X2S	Poisoning by oth antihypertensive drugs, self-harm, sequela	
self_harm	T46.6X2	Poisoning by antihyperlip and antiarterio drugs, self-harm	
self_harm	T46.6X2A	Poisn by antihyperlip and antiarterio drugs, self-harm, init	
self_harm	T46.6X2D	Poisn by antihyperlip and antiarterio drugs, self-harm, subs	
self_harm	T46.6X2S	Poisn by antihyperlip and antiarterio drugs, slf-hrm, sqla	
self_harm	T46.7X2	Poisoning by peripheral vasodilators, intentional self-harm	
self_harm	T46.7X2A	Poisoning by peripheral vasodilators, self-harm, init	
self_harm	T46.7X2D	Poisoning by peripheral vasodilators, self-harm, subs	
self_harm	T46.7X2S	Poisoning by peripheral vasodilators, self-harm, sequela	
self_harm	T46.8X2	Poisoning by antivaric drugs, inc scler agents, self-harm	
self_harm	T46.8X2A	Poisn by antivaric drugs, inc scler agents, self-harm, init	
self_harm	T46.8X2D	Poisn by antivaric drugs, inc scler agents, self-harm, subs	
self_harm	T46.8X2S	Poisn by antivaric drugs, inc scler agents, slf-hrm, sequela	
self_harm	T46.902	Poisoning by unsp agents aff the cardiovasc sys, self-harm	
self_harm	T46.902A	Poisn by unsp agents aff the cardiovasc sys, self-harm, init	
self_harm	T46.902D	Poisn by unsp agents aff the cardiovasc sys, self-harm, subs	
self_harm	T46.902S	Poisn by unsp agents aff the cardiovasc sys, slf-hrm, sqla	
self_harm	T46.992	Poisoning by oth agents aff the cardiovasc sys, self-harm	
self_harm	T46.992A	Poisn by oth agents aff the cardiovasc sys, self-harm, init	
self_harm	T46.992D	Poisn by oth agents aff the cardiovasc sys, self-harm, subs	
self_harm	T46.992S	Poisn by oth agents aff the cardiovasc sys, slf-hrm, sequela	
self_harm	T47.0X2	Poisoning by histamine H2-receptor blockers, self-harm	
self_harm	T47.0X2A	Poisoning by histamine H2-receptor blockers, self-harm, init	
self_harm	T47.0X2D	Poisoning by histamine H2-receptor blockers, self-harm, subs	
self_harm	T47.0X2S	Poisn by histamine H2-receptor blockers, self-harm, sequela	
self_harm	T47.1X2	Poisn by oth antacids and anti-gstrc-sec drugs, self-harm	
self_harm	T47.1X2A	Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, init	
self_harm	T47.1X2D	Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, subs	
self_harm	T47.1X2S	Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, sqla	
self_harm	T47.2X2	Poisoning by stimulant laxatives, intentional self-harm	
self_harm	T47.2X2A	Poisoning by stimulant laxatives, self-harm, init	
self_harm	T47.2X2D	Poisoning by stimulant laxatives, self-harm, subs	
self_harm	T47.2X2S	Poisoning by stimulant laxatives, self-harm, sequela	
self_harm	T47.3X2	Poisoning by saline and osmotic laxatives, self-harm	
self_harm	T47.3X2A	Poisoning by saline and osmotic laxatives, self-harm, init	
self_harm	T47.3X2D	Poisoning by saline and osmotic laxatives, self-harm, subs	
self_harm	T47.3X2S	Poisoning by saline and osmotic laxtv, self-harm, sequela	
self_harm	T47.4X2	Poisoning by other laxatives, intentional self-harm	
self_harm	T47.4X2A	Poisoning by oth laxatives, intentional self-harm, init	
self_harm	T47.4X2D	Poisoning by oth laxatives, intentional self-harm, subs	
self_harm	T47.4X2S	Poisoning by other laxatives, intentional self-harm, sequela	
self_harm	T47.5X2	Poisoning by digestants, intentional self-harm	
self_harm	T47.5X2A	Poisoning by digestants, intentional self-harm, init encntr	
self_harm	T47.5X2D	Poisoning by digestants, intentional self-harm, subs encntr	
self_harm	T47.5X2S	Poisoning by digestants, intentional self-harm, sequela	
self_harm	T47.6X2	Poisoning by antidiarrheal drugs, intentional self-harm	
self_harm	T47.6X2A	Poisoning by antidiarrheal drugs, self-harm, init	
self_harm	T47.6X2D	Poisoning by antidiarrheal drugs, self-harm, subs	
self_harm	T47.6X2S	Poisoning by antidiarrheal drugs, self-harm, sequela	
self_harm	T47.7X2	Poisoning by emetics, intentional self-harm	
self_harm	T47.7X2A	Poisoning by emetics, intentional self-harm, init encntr	
self_harm	T47.7X2D	Poisoning by emetics, intentional self-harm, subs encntr	
self_harm	T47.7X2S	Poisoning by emetics, intentional self-harm, sequela	
self_harm	T47.8X2	Poisoning by oth agents aff GI sys, self-harm	
self_harm	T47.8X2A	Poisoning by oth agents aff GI sys, self-harm, init	
self_harm	T47.8X2D	Poisoning by oth agents aff GI sys, self-harm, subs	
self_harm	T47.8X2S	Poisoning by oth agents aff GI sys, self-harm, sequela	
self_harm	T47.92XA	Poisoning by unsp agents aff the GI sys, self-harm, init	
self_harm	T47.92XD	Poisoning by unsp agents aff the GI sys, self-harm, subs	
self_harm	T47.92XS	Poisoning by unsp agents aff the GI sys, self-harm, sequela	
self_harm	T48.0X2	Poisoning by oxytocic drugs, intentional self-harm	
self_harm	T48.0X2A	Poisoning by oxytocic drugs, intentional self-harm, init	
self_harm	T48.0X2D	Poisoning by oxytocic drugs, intentional self-harm, subs	
self_harm	T48.0X2S	Poisoning by oxytocic drugs, intentional self-harm, sequela	
self_harm	T48.1X2	Poisoning by skeletal muscle relaxants, self-harm	
self_harm	T48.1X2A	Poisoning by skeletal muscle relaxants, self-harm, init	
self_harm	T48.1X2D	Poisoning by skeletal muscle relaxants, self-harm, subs	
self_harm	T48.1X2S	Poisoning by skeletal muscle relaxants, self-harm, sequela	
self_harm	T48.202	Poisoning by unsp drugs acting on muscles, self-harm	
self_harm	T48.202A	Poisoning by unsp drugs acting on muscles, self-harm, init	
self_harm	T48.202D	Poisoning by unsp drugs acting on muscles, self-harm, subs	
self_harm	T48.202S	Poisn by unsp drugs acting on muscles, self-harm, sequela	
self_harm	T48.292	Poisoning by oth drugs acting on muscles, self-harm	
self_harm	T48.292A	Poisoning by oth drugs acting on muscles, self-harm, init	
self_harm	T48.292D	Poisoning by oth drugs acting on muscles, self-harm, subs	
self_harm	T48.292S	Poisoning by oth drugs acting on muscles, self-harm, sequela	
self_harm	T48.3X2	Poisoning by antitussives, intentional self-harm	
self_harm	T48.3X2A	Poisoning by antitussives, intentional self-harm, init	
self_harm	T48.3X2D	Poisoning by antitussives, intentional self-harm, subs	
self_harm	T48.3X2S	Poisoning by antitussives, intentional self-harm, sequela	
self_harm	T48.4X2	Poisoning by expectorants, intentional self-harm	
self_harm	T48.4X2A	Poisoning by expectorants, intentional self-harm, init	
self_harm	T48.4X2D	Poisoning by expectorants, intentional self-harm, subs	
self_harm	T48.4X2S	Poisoning by expectorants, intentional self-harm, sequela	
self_harm	T48.5X2	Poisoning by oth anti-common-cold drugs, self-harm	
self_harm	T48.5X2A	Poisoning by oth anti-common-cold drugs, self-harm, init	
self_harm	T48.5X2D	Poisoning by oth anti-common-cold drugs, self-harm, subs	
self_harm	T48.5X2S	Poisoning by oth anti-common-cold drugs, self-harm, sequela	
self_harm	T48.6X2	Poisoning by antiasthmatics, intentional self-harm	
self_harm	T48.6X2A	Poisoning by antiasthmatics, intentional self-harm, init	
self_harm	T48.6X2D	Poisoning by antiasthmatics, intentional self-harm, subs	
self_harm	T48.6X2S	Poisoning by antiasthmatics, intentional self-harm, sequela	
self_harm	T48.902	Poisn by unsp agents prim acting on the resp sys, self-harm	
self_harm	T48.902A	Poisn by unsp agents prim act on the resp sys, slf-hrm, init	
self_harm	T48.902D	Poisn by unsp agents prim act on the resp sys, slf-hrm, subs	
self_harm	T48.902S	Poisn by unsp agents prim act on the resp sys, slf-hrm, sqla	
self_harm	T48.992	Poisn by oth agents prim acting on the resp sys, self-harm	
self_harm	T48.992A	Poisn by oth agents prim act on the resp sys, slf-hrm, init	
self_harm	T48.992D	Poisn by oth agents prim act on the resp sys, slf-hrm, subs	
self_harm	T48.992S	Poisn by oth agents prim act on the resp sys, slf-hrm, sqla	
self_harm	T49.0X2	Poisoning by local antifung/infect/inflamm drugs, self-harm	
self_harm	T49.0X2A	Poisn by local antifung/infect/inflamm drugs, slf-hrm, init	
self_harm	T49.0X2D	Poisn by local antifung/infect/inflamm drugs, slf-hrm, subs	
self_harm	T49.0X2S	Poisn by local antifung/infect/inflamm drugs, slf-hrm, sqla	
self_harm	T49.1X2	Poisoning by antipruritics, intentional self-harm	
self_harm	T49.1X2A	Poisoning by antipruritics, intentional self-harm, init	
self_harm	T49.1X2D	Poisoning by antipruritics, intentional self-harm, subs	
self_harm	T49.1X2S	Poisoning by antipruritics, intentional self-harm, sequela	
self_harm	T49.2X2	Poisoning by local astringents/detergents, self-harm	
self_harm	T49.2X2A	Poisoning by local astringents/detergents, self-harm, init	
self_harm	T49.2X2D	Poisoning by local astringents/detergents, self-harm, subs	
self_harm	T49.2X2S	Poisn by local astringents/detergents, self-harm, sequela	
self_harm	T49.3X2	Poisoning by emollients, demulcents and protect, self-harm	
self_harm	T49.3X2A	Poisn by emollients, demulcents and protect, self-harm, init	
self_harm	T49.3X2D	Poisn by emollients, demulcents and protect, self-harm, subs	
self_harm	T49.3X2S	Poisn by emollients, demulcents and protect, slf-hrm, sqla	
self_harm	T49.4X2	Poisoning by keratolyt/keratplst/hair trmt drug, self-harm	
self_harm	T49.4X2A	Poisn by keratolyt/keratplst/hair trmt drug, self-harm, init	
self_harm	T49.4X2D	Poisn by keratolyt/keratplst/hair trmt drug, self-harm, subs	
self_harm	T49.4X2S	Poisn by keratolyt/keratplst/hair trmt drug, slf-hrm, sqla	
self_harm	T49.5X2	Poisoning by opth drugs and preparations, self-harm	
self_harm	T49.5X2A	Poisoning by opth drugs and preparations, self-harm, init	
self_harm	T49.5X2D	Poisoning by opth drugs and preparations, self-harm, subs	
self_harm	T49.5X2S	Poisoning by opth drugs and preparations, self-harm, sequela	
self_harm	T49.6X2	Poisoning by otorhino drugs and preparations, self-harm	
self_harm	T49.6X2A	Poisoning by otorhino drugs and prep, self-harm, init	
self_harm	T49.6X2D	Poisoning by otorhino drugs and prep, self-harm, subs	
self_harm	T49.6X2S	Poisoning by otorhino drugs and prep, self-harm, sequela	
self_harm	T49.7X2	Poisoning by dental drugs, topically applied, self-harm	
self_harm	T49.7X2A	Poisn by dental drugs, topically applied, self-harm, init	
self_harm	T49.7X2D	Poisn by dental drugs, topically applied, self-harm, subs	
self_harm	T49.7X2S	Poisn by dental drugs, topically applied, self-harm, sequela	
self_harm	T49.8X2	Poisoning by other topical agents, intentional self-harm	
self_harm	T49.8X2A	Poisoning by oth topical agents, intentional self-harm, init	
self_harm	T49.8X2D	Poisoning by oth topical agents, intentional self-harm, subs	
self_harm	T49.8X2S	Poisoning by oth topical agents, self-harm, sequela	
self_harm	T49.92XA	Poisoning by unsp topical agent, intentional self-harm, init	
self_harm	T49.92XD	Poisoning by unsp topical agent, intentional self-harm, subs	
self_harm	T49.92XS	Poisoning by unsp topical agent, self-harm, sequela	
self_harm	T50.0X2	Poisoning by mineralocorticoids and their antag, self-harm	
self_harm	T50.0X2A	Poisoning by mineralocorticoids and antag, self-harm, init	
self_harm	T50.0X2D	Poisoning by mineralocorticoids and antag, self-harm, subs	
self_harm	T50.0X2S	Poisn by mineralocorticoids and antag, self-harm, sequela	
self_harm	T50.1X2	Poisoning by loop diuretics, intentional self-harm	
self_harm	T50.1X2A	Poisoning by loop diuretics, intentional self-harm, init	
self_harm	T50.1X2D	Poisoning by loop diuretics, intentional self-harm, subs	
self_harm	T50.1X2S	Poisoning by loop diuretics, intentional self-harm, sequela	
self_harm	T50.2X2	Poisn by crbnc-anhydr inhibtr, benzo/oth diuretc, self-harm	
self_harm	T50.2X2A	Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc,slf-hrm,init	
self_harm	T50.2X2D	Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc,slf-hrm,subs	
self_harm	T50.2X2S	Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc,slf-hrm,sqla	
self_harm	T50.3X2	Poisoning by electrolytic/caloric/wtr-bal agnt, self-harm	
self_harm	T50.3X2A	Poisn by electrolytic/caloric/wtr-bal agnt, self-harm, init	
self_harm	T50.3X2D	Poisn by electrolytic/caloric/wtr-bal agnt, self-harm, subs	
self_harm	T50.3X2S	Poisn by electrolytic/caloric/wtr-bal agnt, slf-hrm, sequela	
self_harm	T50.4X2	Poisoning by drugs affecting uric acid metabolism, self-harm	
self_harm	T50.4X2A	Poisoning by drugs aff uric acid metab, self-harm, init	
self_harm	T50.4X2D	Poisoning by drugs aff uric acid metab, self-harm, subs	
self_harm	T50.4X2S	Poisoning by drugs aff uric acid metab, self-harm, sequela	
self_harm	T50.5X2	Poisoning by appetite depressants, intentional self-harm	
self_harm	T50.5X2A	Poisoning by appetite depressants, self-harm, init	
self_harm	T50.5X2D	Poisoning by appetite depressants, self-harm, subs	
self_harm	T50.5X2S	Poisoning by appetite depressants, self-harm, sequela	
self_harm	T50.6X2	Poisoning by antidotes and chelating agents, self-harm	
self_harm	T50.6X2A	Poisoning by antidotes and chelating agents, self-harm, init	
self_harm	T50.6X2D	Poisoning by antidotes and chelating agents, self-harm, subs	
self_harm	T50.6X2S	Poisn by antidotes and chelating agents, self-harm, sequela	
self_harm	T50.7X2	Poisoning by analeptics and opioid receptor antag, self-harm	
self_harm	T50.7X2A	Poisn by analeptics and opioid receptor antag, slf-hrm, init	
self_harm	T50.7X2D	Poisn by analeptics and opioid receptor antag, slf-hrm, subs	
self_harm	T50.7X2S	Poisn by analeptics and opioid receptor antag, slf-hrm, sqla	
self_harm	T50.8X2	Poisoning by diagnostic agents, intentional self-harm	
self_harm	T50.8X2A	Poisoning by diagnostic agents, intentional self-harm, init	
self_harm	T50.8X2D	Poisoning by diagnostic agents, intentional self-harm, subs	
self_harm	T50.8X2S	Poisoning by diagnostic agents, self-harm, sequela	
self_harm	T50.902	Poisoning by unsp drug/meds/biol subst, self-harm	
self_harm	T50.902A	Poisoning by unsp drug/meds/biol subst, self-harm, init	
self_harm	T50.902D	Poisoning by unsp drug/meds/biol subst, self-harm, subs	
self_harm	T50.902S	Poisoning by unsp drug/meds/biol subst, self-harm, sequela	
self_harm	T50.992	Poisoning by oth drug/meds/biol subst, intentional self-harm	
self_harm	T50.992A	Poisoning by oth drug/meds/biol subst, self-harm, init	
self_harm	T50.992D	Poisoning by oth drug/meds/biol subst, self-harm, subs	
self_harm	T50.992S	Poisoning by oth drug/meds/biol subst, self-harm, sequela	
self_harm	T50.A12	Poisn by pertuss vaccine, inc combin w pertuss, self-harm	
self_harm	T50.A12A	Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, init	
self_harm	T50.A12D	Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, subs	
self_harm	T50.A12S	Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, sqla	
self_harm	T50.A22	Poisoning by mixed bact vaccines w/o a pertuss, self-harm	
self_harm	T50.A22A	Poisn by mixed bact vaccines w/o a pertuss, self-harm, init	
self_harm	T50.A22D	Poisn by mixed bact vaccines w/o a pertuss, self-harm, subs	
self_harm	T50.A22S	Poisn by mixed bact vaccines w/o a pertuss, slf-hrm, sequela	
self_harm	T50.A92	Poisoning by other bacterial vaccines, intentional self-harm	
self_harm	T50.A92A	Poisoning by oth bacterial vaccines, self-harm, init	
self_harm	T50.A92D	Poisoning by oth bacterial vaccines, self-harm, subs	
self_harm	T50.A92S	Poisoning by oth bacterial vaccines, self-harm, sequela	
self_harm	T50.B12	Poisoning by smallpox vaccines, intentional self-harm	
self_harm	T50.B12A	Poisoning by smallpox vaccines, intentional self-harm, init	
self_harm	T50.B12D	Poisoning by smallpox vaccines, intentional self-harm, subs	
self_harm	T50.B12S	Poisoning by smallpox vaccines, self-harm, sequela	
self_harm	T50.B92	Poisoning by other viral vaccines, intentional self-harm	
self_harm	T50.B92A	Poisoning by oth viral vaccines, intentional self-harm, init	
self_harm	T50.B92D	Poisoning by oth viral vaccines, intentional self-harm, subs	
self_harm	T50.B92S	Poisoning by oth viral vaccines, self-harm, sequela	
self_harm	T50.Z12	Poisoning by immunoglobulin, intentional self-harm	
self_harm	T50.Z12A	Poisoning by immunoglobulin, intentional self-harm, init	
self_harm	T50.Z12D	Poisoning by immunoglobulin, intentional self-harm, subs	
self_harm	T50.Z12S	Poisoning by immunoglobulin, intentional self-harm, sequela	
self_harm	T50.Z92	Poisoning by oth vaccines and biolg substances, self-harm	
self_harm	T50.Z92A	Poisoning by oth vaccines and biolg substnc, self-harm, init	
self_harm	T50.Z92D	Poisoning by oth vaccines and biolg substnc, self-harm, subs	
self_harm	T50.Z92S	Poisn by oth vaccines and biolg substnc, self-harm, sequela	
self_harm	T51.0X2	Toxic effect of ethanol, intentional self-harm	
self_harm	T51.0X2A	Toxic effect of ethanol, intentional self-harm, init encntr	
self_harm	T51.0X2D	Toxic effect of ethanol, intentional self-harm, subs encntr	
self_harm	T51.0X2S	Toxic effect of ethanol, intentional self-harm, sequela	
self_harm	T51.1X2	Toxic effect of methanol, intentional self-harm	
self_harm	T51.1X2A	Toxic effect of methanol, intentional self-harm, init encntr	
self_harm	T51.1X2D	Toxic effect of methanol, intentional self-harm, subs encntr	
self_harm	T51.1X2S	Toxic effect of methanol, intentional self-harm, sequela	
self_harm	T51.2X2	Toxic effect of 2-Propanol, intentional self-harm	
self_harm	T51.2X2A	Toxic effect of 2-Propanol, intentional self-harm, init	
self_harm	T51.2X2D	Toxic effect of 2-Propanol, intentional self-harm, subs	
self_harm	T51.2X2S	Toxic effect of 2-Propanol, intentional self-harm, sequela	
self_harm	T51.3X2	Toxic effect of fusel oil, intentional self-harm	
self_harm	T51.3X2A	Toxic effect of fusel oil, intentional self-harm, init	
self_harm	T51.3X2D	Toxic effect of fusel oil, intentional self-harm, subs	
self_harm	T51.3X2S	Toxic effect of fusel oil, intentional self-harm, sequela	
self_harm	T51.8X2	Toxic effect of other alcohols, intentional self-harm	
self_harm	T51.8X2A	Toxic effect of oth alcohols, intentional self-harm, init	
self_harm	T51.8X2D	Toxic effect of oth alcohols, intentional self-harm, subs	
self_harm	T51.8X2S	Toxic effect of oth alcohols, intentional self-harm, sequela	
self_harm	T51.92XA	Toxic effect of unsp alcohol, intentional self-harm, init	
self_harm	T51.92XD	Toxic effect of unsp alcohol, intentional self-harm, subs	
self_harm	T51.92XS	Toxic effect of unsp alcohol, intentional self-harm, sequela	
self_harm	T52.0X2	Toxic effect of petroleum products, intentional self-harm	
self_harm	T52.0X2A	Toxic effect of petroleum products, self-harm, init	
self_harm	T52.0X2D	Toxic effect of petroleum products, self-harm, subs	
self_harm	T52.0X2S	Toxic effect of petroleum products, self-harm, sequela	
self_harm	T52.1X2	Toxic effect of benzene, intentional self-harm	
self_harm	T52.1X2A	Toxic effect of benzene, intentional self-harm, init encntr	
self_harm	T52.1X2D	Toxic effect of benzene, intentional self-harm, subs encntr	
self_harm	T52.1X2S	Toxic effect of benzene, intentional self-harm, sequela	
self_harm	T52.2X2	Toxic effect of homologues of benzene, intentional self-harm	
self_harm	T52.2X2A	Toxic effect of homologues of benzene, self-harm, init	
self_harm	T52.2X2D	Toxic effect of homologues of benzene, self-harm, subs	
self_harm	T52.2X2S	Toxic effect of homologues of benzene, self-harm, sequela	
self_harm	T52.3X2	Toxic effect of glycols, intentional self-harm	
self_harm	T52.3X2A	Toxic effect of glycols, intentional self-harm, init encntr	
self_harm	T52.3X2D	Toxic effect of glycols, intentional self-harm, subs encntr	
self_harm	T52.3X2S	Toxic effect of glycols, intentional self-harm, sequela	
self_harm	T52.4X2	Toxic effect of ketones, intentional self-harm	
self_harm	T52.4X2A	Toxic effect of ketones, intentional self-harm, init encntr	
self_harm	T52.4X2D	Toxic effect of ketones, intentional self-harm, subs encntr	
self_harm	T52.4X2S	Toxic effect of ketones, intentional self-harm, sequela	
self_harm	T52.8X2	Toxic effect of oth organic solvents, intentional self-harm	
self_harm	T52.8X2A	Toxic effect of organic solvents, self-harm, init	
